data,pib
1º trimestre 2012,3.1
2º trimestre 2012,2.2
3º trimestre 2012,1.9
4º trimestre 2012,1.9
1º trimestre 2013,2.2
2º trimestre 2013,2.9
3º trimestre 2013,3
4º trimestre 2013,3
1º trimestre 2014,3.2
2º trimestre 2014,2.1
3º trimestre 2014,1.2
4º trimestre 2014,0.5
1º trimestre 2015,-0.7
2º trimestre 2015,-1.3
3º trimestre 2015,-2.2
4º trimestre 2015,-3.5
1º trimestre 2016,-4.4
2º trimestre 2016,-4.5
3º trimestre 2016,-4.1
4º trimestre 2016,-3.3
1º trimestre 2017,-2
2º trimestre 2017,-1
3º trimestre 2017,-0.1
4º trimestre 2017,1.1
1º trimestre 2018,1.3
2º trimestre 2018,1.4
3º trimestre 2018,1.4
4º trimestre 2018,1.1
